program_level,requirement_type,requirement
Undergraduate,UAE Curriculum (Elite & Advanced Track),Minimum overall average of 70%
Undergraduate,UAE Curriculum (General Track),Minimum overall average of 90%
Undergraduate,British System,Successfully complete Year 13
Undergraduate,IB Diploma,Minimum score of 24 points including min 4 points in HL Math and Physics
Undergraduate,American System,Minimum of 70% average in final grade (Grade 12)
Undergraduate,Indian System,Minimum average of 50% in Senior Secondary School Certificate (12th Standard)
Undergraduate,English Proficiency,TOEFL iBT 79 or IELTS 6.0 or EmSAT 1400
Postgraduate,Bachelor's Degree,Minimum CGPA of 3.0 on a 4.0 scale
Postgraduate,English Proficiency,TOEFL iBT 79 or IELTS 6.0
All,Application Process,Online application
All,Application Process,Submission of required documents
All,Application Process,Possible interview
All,Visa,UAE student visa sponsorship available for international students
All,Scholarships,Merit-based scholarships available for academically distinguished students